id,auto_doc_no,order_no,order_date,customer_name,product_name,weight_label,sale_qty,total_weight_grams,sales_key,inventory_issue_code,inventory_code,inventory_name,issue_factor,issue_qty,inventory_unit,suggested_lot_code,suggested_exp_date,suggested_lot_qty_before,suggested_lot_cumulative_auto,consumed_lot_code,consumed_lot_barcode,lot_qty_before,lot_qty_after,fefo_check,status,source_row
23fa8ca9-6126-5dc6-9278-c7df7b332a6a,AUTO-0001,DH0001,2026-03-17,Anh Quân,Ứ́c gà gừng tỏi,150g,2,300,Ứ́c gà gừng tỏi | 150g,TP003,TP003,Ứ́c gà gừng tỏi,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,3
ddf08df8-6989-56cf-84fd-9d24fb7e0f1c,AUTO-0002,DH0001,2026-03-17,Anh Quân,Ức gà ngũ vị,150g,2,300,Ức gà ngũ vị | 150g,TP002,TP002,Ức gà ngũ vị,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,4
3d1ac705-65d6-5dca-a294-5af06ebbdab7,AUTO-0003,DH0001,2026-03-17,Anh Quân,Nạc heo sả nghệ,150g,2,300,Nạc heo sả nghệ | 150g,TP007,TP007,Nạc heo sả nghệ,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,5
8aa67e5a-3360-5c6d-8fb8-28e6dce4eb97,AUTO-0004,DH0001,2026-03-17,Anh Quân,Tôm cajun,150g,2,300,Tôm cajun | 150g,TP012,TP012,Tôm cajun,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,6
de9be0a0-bab4-58e2-b757-8cae5a942027,AUTO-0005,DH0001,2026-03-17,Anh Quân,Cá thu cà ri,150g,2,300,Cá thu cà ri | 150g,TP013,TP013,Cá thu cà ri,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,7
d7531b14-bfe9-5d0f-af0a-29af2751a2d8,AUTO-0006,DH0002,2026-03-17,Chị Nga,Ức gà cajun,200g,1,200,Ức gà cajun | 200g,TP001,TP001,Ức gà cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,8
baba8d42-28d8-5c56-9a10-f16acd2c287c,AUTO-0007,DH0002,2026-03-17,Chị Nga,Nạ̣c heo ngũ vị,200g,1,200,Nạ̣c heo ngũ vị | 200g,TP008,TP008,Nạ̣c heo ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,9
8320af59-34ef-5c7e-86fe-2af4b6f93a2d,AUTO-0008,DH0002,2026-03-17,Chị Nga,Nạc heo sả nghệ,200g,1,200,Nạc heo sả nghệ | 200g,TP007,TP007,Nạc heo sả nghệ,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,10
d83c5c46-07d3-5266-a13d-0ffb67605b2c,AUTO-0009,DH0002,2026-03-17,Chị Nga,Thăn bò̀ cajun,200g,1,200,Thăn bò̀ cajun | 200g,TP010,TP010,Thăn bò̀ cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,11
a2757c86-095c-5d35-9750-d31715dc7150,AUTO-0010,DH0002,2026-03-17,Chị Nga,Thăn bò ngũ vị,200g,1,200,Thăn bò ngũ vị | 200g,TP009,TP009,Thăn bò ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,12
